% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,Traslado de 22 caninos a dependencias de organización Homeless Pets Chile,20%,20%,40%,,12.3,12,Si,,
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,Tramitación para entregar subvención de alimentos,20%,20%,60%,,12.4,12,Si,,
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,Desarme de los caniles municipales,10%,10%,70%,,12.5,12,Si,,
90%,12. Cuidado y protección animal,66%,Gestión de adopciones de mascotas,"Realizar las gestiones para que la comunidad adopte a las mascotas abandonadas, fomentando la adopción y promoviendo la tenencia y el cuidado responsable.",100%,Se realiza la gestión de adopción de mascotas de manera permanente. A la fecha se ha gestionado la adopción de más de 26 adopciones ( 18 gatos y 8 perros).,"Gestión permanente de adopción de mascotas abandonadas, incluyendo el cuidado y la alimentación de las mascotas, difusión por redes sociales, coordinación con organizaciones animalistas y habitantes de la comuna.",30%,30%,100%,,12.6,12,Si,,
90%,12. Cuidado y protección animal,66%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.",Compra de microchips,10%,10%,10%,1,12.7,12,Si,,
90%,12. Cuidado y protección animal,66%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.","Coordinación de operativos veterinarios en el marco del programa ""Gobierno en tu Barrio""",20%,20%,30%,,12.8,12,Si,,
90%,12. Cuidado y protección animal,66%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.","Ejecución de los operativos en terreno y en la clínica, se realiza atención veterinaria e implantación de chip",30%,30%,60%,,12.9,12,Si,,
90%,12. Cuidado y protección animal,66%,Colocación de chips a mascotas,"Implantar chips a animales de la comuna e inscribirlos en el registro nacional de mascotas, promoviendo la tenencia y el cuidado responsable de mascotas.",100%,"Se han implantado más de 1.000 chips, en diversos operativos y campañas de tenencia responsable de mascotas.",Ingreso de fichas de animales al registro nacional de mascotas,40%,40%,100%,,12.10,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas","Aprobación de propuesta de ""Clínica Veterinaria Móvil"" en Concejo Municipal",10%,10%,10%,1,12.11,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas","Formulación del proyecto ""Clínica Veterinaria Móvil""",30%,30%,40%,,12.12,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas",Postulación a financiamiento externo del Gobierno Regional Metropolitano,20%,20%,60%,,12.13,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas","Adjudicación del proyecto ""Clínica Veterinaria Móvil""",10%,10%,70%,,12.14,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas",Contratación de personal para funcionamiento de la Veterinaria Móvil,10%,10%,80%,,12.15,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas",Traspaso de clínica veterinaria móvil desde Gobierno Regional Metropolitano al Municipio,10%,10%,90%,,12.16,12,Si,,
90%,12. Cuidado y protección animal,66%,Clínica veterinaria móvil,"Implementar una clínica veterinaria móvil, llevando servicios veterinarios a la comunidad, brindando atención de público y sus mascotas en terreno.",100%,"Clínica veterinaria móvil en funcionamiento, se han realizado 99 operativos en terreno, atendiendo a 3.199 mascotas",Funcionamiento en terreno de Clínica Veterinaria Móvil,10%,10%,100%,,12.17,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Formulación del programa ""Tenencia Responsable de Animales de Compañía"" y presentación a la Subsecretaría de Desarrollo Regional y Administrativo",20%,20%,20%,1,12.18,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.",Determinación del número de operativos y las sedes donde se realizarán,20%,20%,40%,,12.19,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Adjudicación del programa ""Tenencia Responsable de Animales de Compañía"" de la Subsecretaría de Desarrollo Regional y Administrativo",10%,10%,50%,,12.20,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.",Contratación del equipo de esterilizaciones,10%,10%,60%,,12.21,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Ejecución del programa ""Tenencia Responsable de Animales de Compañía""",30%,30%,90%,,12.22,12,Si,,
90%,12. Cuidado y protección animal,66%,Creación de programa de esterilización y de educación de tenencia responsable,"Esterilizar mascotas y brindar educación de tenencia responsable, mediante la creación de un programa y conformación de un equipo veterinario que permita controlar la población animal y promueva el cuidado responsable.",100%,"Programa en funcionamiento, se han esterilizado más de 1.000 mascotas y se han implantado más de 1.000 microchips. Se realizan charlas de tenencia responsable de manera permanente.","Esterilización más implantación de microchip para 1.000 animales, junto con brindar charlas sobre tenencia responsable",10%,10%,100%,,12.23,12,Si,,
90%,12. Cuidado y protección animal,66%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto del nuevo Centro de Salud para mascotas (CeSaVet), que contará con 3 pisos, y fue anunciado al público en diciembre de 2023. En la actual clínica veterinaria se realizaron 8.872 atenciones y cirugías durante 2023.",Obtención del terreno donde se construirá nueva clínica veterinaria municipal,15%,15%,15%,1,12.24,12,Si,,
90%,12. Cuidado y protección animal,66%,Atención veterinaria 24 horas,"Construir, equipar y poner en marcha una nueva clínica veterinaria municipal, que brinde atención veterinaria las 24 horas.",30%,"Se cuenta con el terreno y financiamiento para el diseño del proyecto del nuevo Centro de Salud para mascotas (CeSaVet), que contará con 3 pisos, y fue anunciado al público en diciembre de 2023. En la actual clínica veterinaria se realizaron 8.872 atenciones y cirugías durante 2023.",Obtención de financiamiento para el diseño de clínica veterinaria municipal,15%,15%,30%,,12.25,12,Si,,
